"Time Series - GHGs from Land use, Land-use Change and Forestry, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Spain,"-33,895.99","-33,895.99","-34,072.89","-34,225.25","-35,390.93","-34,152.99","-36,434.80","-37,241.35","-37,183.45","-37,866.28","-41,436.94","-43,396.80","-45,304.75","-44,346.75","-43,878.29","-44,632.20","-44,381.67","-46,760.39","-44,167.23","-44,057.73","-41,656.01","-44,144.86","-43,560.83","-41,045.42","-40,261.86","-42,133.18","-44,558.51","-44,787.79","-45,306.66","-46,139.41","-45,229.39","-44,094.76","-44,521.99",31.35%
Sweden,"-46,335.48","-46,335.48","-46,067.32","-45,081.87","-41,088.08","-42,597.67","-42,640.39","-45,213.36","-46,010.02","-46,600.97","-46,972.26","-48,205.97","-49,095.43","-48,090.39","-45,306.80","-42,894.78","-43,385.17","-50,409.06","-48,310.31","-48,041.79","-47,919.44","-50,288.00","-51,168.25","-51,251.76","-49,456.06","-47,924.88","-46,411.93","-45,216.25","-38,790.01","-35,450.69","-38,255.64","-41,286.62","-41,710.84",-9.98%
Switzerland,"-1,763.79","-1,763.79","-4,891.48","-4,008.95","-4,275.15","-2,986.36","-3,795.26","-5,456.15","-3,759.76","-2,812.82","-2,407.02","5,264.60",-833.22,"-2,587.89","-2,551.93","-2,632.90","-2,890.92","-1,921.98",-835.51,"-2,058.74","-3,159.04","-2,807.22",-983.41,"-2,516.38","-1,743.11",-161.12,"-1,954.42","-1,980.06","-1,685.70","-1,087.28","-1,766.42","-1,426.68","-1,875.08",6.31%
Türkiye,"-66,510.96","-66,510.96","-67,373.14","-67,473.57","-66,603.11","-68,013.63","-67,765.76","-67,127.93","-70,448.51","-70,612.20","-71,192.32","-68,051.66","-70,783.58","-69,281.55","-71,158.64","-69,686.65","-71,778.44","-71,455.03","-71,779.71","-67,916.75","-70,849.49","-71,880.48","-75,581.86","-73,385.11","-76,487.82","-76,877.49","-72,806.57","-73,110.30","-74,959.14","-69,752.25","-62,720.28","-56,947.61","-47,145.76",-29.12%
Ukraine,"-31,406.50","-31,406.50","-39,593.54","-39,320.33","-32,811.07","-36,985.68","-32,125.24","-27,724.73","-22,467.50","-28,098.31","-31,016.51","-22,912.26","-17,358.84","-14,801.25","-21,253.36","-9,572.79","-8,946.28","-11,998.36","-14,071.00",845.63,"-4,747.82","-8,996.80","8,609.72","5,031.68","18,986.76","20,075.75","19,742.15","24,351.45","13,439.71","24,916.07","23,331.75",-402.90,"14,230.36",-145.31%
United Kingdom of Great Britain and Northern Ireland,"11,152.48","11,152.48","10,643.52","9,800.57","9,215.67","8,802.01","8,818.41","7,799.76","7,246.96","6,448.49","6,570.29","6,326.71","5,679.68","4,848.54","4,705.34","3,852.86","3,481.67","3,073.85","2,731.27","1,899.74","1,816.42","1,757.36","1,160.25","1,333.57","1,278.28",885.02,"1,089.52","1,148.98",889.06,"1,507.08","1,829.37","1,258.96","1,164.27",-89.56%
United States of America,"-880,954.42","-880,954.42","-887,184.10","-882,524.21","-863,078.31","-873,580.21","-848,815.44","-866,354.27","-849,852.78","-850,045.07","-840,984.53","-835,788.19","-842,570.36","-796,613.03","-828,143.39","-709,589.63","-781,094.62","-818,429.85","-774,100.64","-763,414.42","-720,457.00","-751,021.11","-791,224.70","-785,592.30","-749,221.42","-768,836.73","-671,863.52","-815,337.76","-774,196.01","-765,129.76","-704,045.09","-776,168.33","-754,225.03",-14.39%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:16:57 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
