"Time Series - GHGs from Waste, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Russian Federation,"52,203.44","52,203.44","52,113.81","51,286.55","51,315.71","50,859.10","51,269.49","51,252.74","51,989.00","52,587.46","53,717.22","54,611.59","55,834.30","56,958.56","58,179.39","59,492.64","61,223.21","62,857.13","64,882.07","66,701.48","68,380.51","70,253.02","72,960.40","75,367.55","77,838.38","81,146.55","83,442.44","85,451.79","87,526.46","89,493.46","91,399.20","94,061.48","96,694.93",85.23%
Slovakia,"1,536.84","1,536.84","1,546.60","1,536.54","1,536.07","1,428.23","1,428.70","1,429.83","1,449.67","1,474.02","1,489.19","1,511.30","1,531.60","1,562.55","1,577.81","1,600.82","1,618.06","1,677.16","1,644.23","1,665.45","1,710.39","1,743.07","1,792.73","1,826.72","1,825.62","1,835.45","1,902.38","1,853.66","1,886.50","1,903.84","1,877.59","1,907.25","1,884.70",22.63%
Slovenia,700.01,773.36,766.57,732.75,711.25,716.57,721.76,728.73,771.72,807.10,831.60,862.39,878.91,871.87,887.53,888.33,849.29,809.62,749.26,673.05,610.19,599.13,605.56,589.02,566.93,534.13,542.49,537.76,524.21,483.65,474.04,451.12,428.77,-38.75%
Spain,"13,532.92","13,532.92","13,583.81","13,847.99","13,962.60","14,306.89","14,494.06","14,932.61","15,485.14","15,354.16","15,525.89","15,778.45","15,991.71","16,092.92","15,922.49","15,272.43","15,421.06","16,012.68","16,537.04","16,475.09","17,943.81","16,740.21","17,342.74","16,922.33","16,522.50","15,186.64","16,229.90","15,744.75","15,458.50","15,503.95","14,731.05","14,610.50","14,303.44",5.69%
Sweden,"4,132.25","4,132.25","4,204.35","4,216.83","4,082.21","3,934.68","3,927.52","3,898.26","3,860.59","3,802.24","3,655.79","3,549.37","3,492.51","3,296.32","3,148.66","3,130.44","2,974.08","2,866.19","2,666.00","2,374.59","2,270.68","2,134.59","2,023.98","1,878.13","1,757.73","1,613.32","1,493.70","1,409.58","1,347.52","1,265.19","1,146.65","1,076.81",992.17,-75.99%
Switzerland,"2,278.34","2,278.34","2,153.76","2,134.31","2,057.47","1,963.55","1,945.25","1,914.85","1,873.44","1,829.70","1,794.31","1,772.09","1,769.58","1,764.77","1,721.13","1,723.23","1,687.36","1,657.47","1,613.94","1,570.25","1,523.77","1,484.46","1,447.26","1,409.70","1,404.59","1,380.58","1,338.46","1,300.33","1,256.34","1,224.42","1,199.33","1,171.37","1,142.13",-49.87%
TÅrkiye,"11,080.83","11,080.83","11,305.19","11,520.00","11,752.23","12,020.41","12,348.37","12,651.39","13,153.94","13,461.74","13,914.20","14,341.27","14,793.74","15,226.71","15,601.35","16,063.42","16,401.30","16,832.31","17,072.41","17,173.70","17,185.96","17,446.12","17,786.99","17,617.80","16,664.79","16,501.86","17,121.68","16,712.88","16,263.08","16,629.60","16,119.58","16,308.03","14,698.01",32.64%
Ukraine,"12,439.38","12,439.38","12,424.24","12,345.16","12,252.71","11,978.17","11,966.41","11,851.45","11,790.00","11,766.59","11,734.95","11,788.63","11,907.97","12,016.20","12,095.47","12,280.33","12,424.32","12,592.22","12,815.92","12,685.55","12,591.20","12,725.58","12,713.69","12,638.99","12,843.29","12,611.32","12,548.44","12,725.67","12,659.13","12,606.79","12,578.26","12,357.30","12,137.75",-2.42%
United Kingdom of Great Britain and Northern Ireland,"72,549.67","72,549.67","73,241.00","73,425.19","74,019.12","74,449.00","75,628.51","75,931.42","75,429.45","74,245.48","71,024.80","68,153.86","66,225.93","64,984.14","60,947.87","56,093.52","53,190.24","49,899.89","46,486.84","41,444.78","37,112.00","31,944.54","29,648.08","27,978.35","24,734.16","22,350.16","21,651.12","20,828.80","21,234.29","21,277.46","20,992.67","19,479.55","19,104.54",-73.67%
United States of America,"235,962.45","235,962.45","239,313.51","239,896.11","238,112.71","238,769.31","233,596.40","230,155.17","220,018.96","210,014.17","203,573.26","200,388.80","195,123.03","193,958.02","197,040.01","194,652.68","192,053.53","189,988.00","187,749.77","185,250.96","182,121.88","183,135.34","174,127.25","176,564.79","172,827.92","172,734.78","171,696.30","168,325.54","170,905.25","173,705.11","175,993.61","171,523.12","169,162.94",-28.31%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: ? means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the ?Notes on GHG data? available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:12:49 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
