"Time Series - GHGs from Energy ? Transport, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Slovakia,"6,816.32","6,816.32","5,788.36","5,218.05","4,955.47","4,757.40","5,490.92","5,719.59","5,804.03","6,103.74","5,956.16","5,721.59","6,142.75","6,157.22","6,077.55","6,814.91","7,693.08","6,841.13","7,543.39","7,895.63","7,001.96","7,421.48","7,052.64","6,928.59","6,860.61","6,607.82","7,293.40","7,539.58","7,682.94","7,808.66","8,123.05","7,061.50","7,522.68",10.36%
Slovenia,"2,051.17","2,737.21","2,593.35","2,635.31","3,185.13","3,569.72","3,988.89","4,530.06","4,737.74","3,939.90","3,729.69","3,676.08","3,837.13","3,904.17","3,953.67","4,132.14","4,401.34","4,637.35","5,239.95","6,159.08","5,158.76","5,299.22","5,649.48","5,668.06","5,367.27","5,383.26","5,353.65","5,726.82","5,856.28","5,835.01","5,625.00","4,575.49","5,205.46",153.78%
Spain,"58,650.10","58,650.10","62,051.15","66,072.29","65,745.79","69,682.55","70,678.59","75,485.30","74,984.97","81,613.85","85,280.36","86,490.99","90,325.66","92,063.37","96,590.92","100,258.08","102,839.83","106,131.23","108,480.73","102,547.89","95,257.42","91,915.84","86,718.38","79,535.97","80,337.11","80,611.88","83,746.19","86,596.43","89,249.97","90,295.92","91,425.58","73,873.43","85,502.04",45.78%
Sweden,"20,038.31","20,038.31","20,175.55","21,155.67","20,130.11","20,631.93","20,657.53","20,328.13","20,346.92","20,368.33","20,653.10","20,474.95","20,509.21","21,011.43","21,205.70","21,528.33","21,724.96","21,695.41","21,995.52","21,407.41","21,035.34","21,129.13","20,749.24","19,573.33","19,110.55","18,688.85","18,793.05","18,088.71","17,672.21","17,103.89","16,951.10","15,366.39","15,439.43",-22.95%
Switzerland,"14,687.70","14,687.70","15,176.48","15,504.19","14,427.33","14,595.81","14,286.91","14,349.34","14,906.08","15,113.38","15,717.37","15,954.19","15,655.54","15,580.65","15,741.23","15,783.37","15,847.45","15,964.98","16,290.45","16,638.29","16,434.91","16,321.71","16,142.33","16,260.05","16,171.88","16,065.30","15,329.33","15,167.30","14,904.91","14,910.39","14,868.58","13,563.48","13,752.42",-6.37%
TÅrkiye,"26,968.90","26,968.90","25,673.33","26,365.69","32,142.84","30,639.87","34,112.99","36,271.47","34,689.82","32,781.98","34,617.15","36,464.87","36,454.76","36,234.00","37,824.81","42,048.05","42,041.16","45,423.90","52,098.69","48,166.33","47,906.79","45,391.99","47,385.84","62,524.97","68,864.93","73,559.26","75,797.66","81,841.20","84,770.02","84,616.68","82,427.62","80,680.30","91,200.25",238.17%
Ukraine,"111,792.85","111,792.85","91,963.57","79,970.71","59,452.44","52,248.68","49,222.93","47,959.33","41,256.19","37,575.84","37,924.64","34,554.54","35,289.40","37,174.12","38,389.40","40,092.56","39,191.28","42,723.35","44,940.06","46,146.92","39,818.11","40,203.32","40,290.32","39,361.86","39,513.88","35,888.12","31,103.68","32,892.26","34,936.79","34,956.45","37,729.41","31,814.33","33,667.79",-69.88%
United Kingdom of Great Britain and Northern Ireland,"122,935.49","122,935.49","122,007.87","123,410.45","124,692.58","126,125.47","125,614.42","130,121.59","130,773.09","130,294.41","131,864.40","130,141.90","129,956.50","132,530.90","131,760.03","133,011.38","133,588.45","132,960.39","133,858.83","128,954.77","124,165.49","122,438.22","120,382.27","119,413.97","118,372.50","119,993.53","122,628.13","125,350.70","125,546.17","123,774.76","121,898.74","97,999.74","108,117.74",-12.05%
United States of America,"1,464,865.91","1,464,865.91","1,422,070.50","1,487,022.82","1,521,727.64","1,573,277.11","1,602,833.40","1,650,328.56","1,668,171.65","1,703,428.35","1,769,815.25","1,815,623.59","1,783,738.86","1,823,787.52","1,828,805.15","1,858,782.27","1,871,724.98","1,875,889.23","1,873,390.64","1,769,807.41","1,699,506.70","1,707,338.19","1,683,056.59","1,669,479.44","1,679,496.60","1,712,099.04","1,721,926.75","1,761,641.57","1,783,274.96","1,815,592.69","1,820,657.45","1,574,166.59","1,753,829.69",19.73%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: ? means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the ?Notes on GHG data? available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:12:30 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
