"Time Series - GHGs from Industrial Processes and Product Use, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Ukraine,"118,198.83","118,198.83","101,314.47","97,332.95","79,207.46","67,168.15","58,156.32","56,538.09","62,118.95","60,072.80","62,884.55","67,453.09","71,860.48","74,656.70","78,250.07","81,458.46","80,952.38","85,274.97","92,520.38","89,194.54","68,642.16","74,714.99","81,232.11","77,696.23","72,603.18","61,965.90","56,415.15","58,086.58","51,879.16","56,478.01","57,599.12","56,002.11","58,359.40",-50.63%
United Kingdom of Great Britain and Northern Ireland,"80,028.76","80,028.76","78,063.32","73,375.70","70,000.04","73,148.89","73,557.95","76,077.18","76,799.02","71,616.28","57,085.66","53,403.71","50,003.71","46,307.41","49,658.14","50,880.04","49,694.71","50,218.06","52,274.78","49,668.98","39,994.14","41,001.15","39,065.03","40,595.67","45,168.93","45,119.81","43,091.28","37,939.80","38,009.86","36,085.11","35,713.02","34,069.60","32,326.75",-59.61%
United States of America,"335,351.37","335,351.37","317,345.74","322,847.57","322,186.40","333,890.24","362,307.45","374,103.32","379,719.90","386,119.47","382,438.53","380,991.10","345,855.09","353,973.57","342,072.66","355,236.52","356,056.54","365,336.35","381,744.72","360,170.19","312,922.59","352,006.12","366,975.72","357,244.47","357,212.67","368,665.97","363,910.56","357,575.72","359,082.41","362,175.24","366,822.71","363,206.02","376,382.97",12.24%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:16:51 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
