"Time Series - GHGs from Energy ? Manufacturing Industries and Construction, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Slovenia,"4,123.77","3,095.08","3,076.27","2,585.67","2,512.64","2,681.00","2,630.49","2,521.37","2,300.40","2,281.48","2,296.36","2,293.44","2,212.71","2,244.53","2,174.93","2,325.44","2,461.10","2,599.95","2,362.81","2,334.86","1,957.24","1,932.30","1,732.02","1,662.54","1,655.59","1,662.39","1,604.69","1,617.72","1,693.19","1,790.05","1,747.24","1,702.65","1,732.56",-57.99%
Spain,"45,201.27","45,201.27","49,584.33","47,514.12","46,387.37","51,833.65","59,592.08","54,440.64","53,723.72","53,744.41","55,622.04","58,814.52","61,201.00","63,902.36","68,666.33","68,673.62","69,884.34","59,547.36","61,578.80","58,092.77","48,048.63","49,845.09","46,834.36","45,672.34","42,541.59","39,703.33","42,193.86","44,167.71","45,844.96","47,081.17","46,924.81","43,571.68","46,696.84",3.31%
Sweden,"10,858.44","10,858.44","10,746.26","9,921.36","10,679.29","11,714.28","12,083.63","11,996.37","12,438.02","11,842.64","11,064.30","11,365.64","11,430.27","11,144.52","11,025.28","10,674.00","10,042.18","10,126.14","9,677.01","9,016.15","7,362.71","8,601.22","7,961.69","7,411.95","7,055.61","6,885.84","7,019.76","6,806.53","6,715.06","6,835.67","6,851.42","6,191.38","6,300.65",-41.97%
Switzerland,"6,568.13","6,568.13","6,797.30","6,376.36","6,207.90","6,148.92","6,292.90","6,038.68","5,998.82","6,199.63","6,061.12","6,004.89","6,251.69","5,804.66","5,895.80","6,040.31","6,038.68","6,203.17","6,008.26","6,069.87","5,753.56","5,860.09","5,432.80","5,429.83","5,496.04","5,095.33","4,976.08","4,983.32","4,947.64","4,789.33","4,702.17","4,498.55","4,593.91",-30.06%
TÅrkiye,"37,161.74","37,161.74","40,334.55","39,331.59","39,993.17","35,881.15","39,999.76","50,592.43","56,035.02","55,478.64","47,371.76","57,944.53","45,664.34","57,119.40","66,688.69","63,862.26","63,010.70","70,089.81","71,877.98","47,355.26","46,227.19","52,333.45","52,591.74","61,058.92","52,983.44","54,444.33","59,592.93","60,079.28","60,189.33","59,669.41","54,564.61","60,186.50","66,235.98",78.24%
Ukraine,"111,255.03","111,255.03","100,471.26","73,681.37","61,808.47","37,524.46","24,994.56","25,158.56","24,968.39","29,485.17","29,810.00","31,227.83","30,332.68","30,530.30","33,501.50","36,443.12","36,790.72","37,763.84","40,550.85","29,616.79","19,373.11","22,598.13","25,269.37","22,920.11","23,709.08","20,388.80","19,028.59","18,403.10","18,050.19","18,404.55","18,607.26","19,819.67","21,013.10",-81.11%
United Kingdom of Great Britain and Northern Ireland,"75,612.31","75,612.31","79,133.59","76,900.66","74,425.12","73,478.61","70,704.74","70,423.35","70,132.33","71,733.25","72,444.46","74,675.62","73,713.19","66,498.33","67,035.81","65,412.53","66,341.33","63,545.37","62,092.71","56,525.99","49,750.81","51,539.09","48,232.62","46,009.35","44,316.95","43,587.18","42,311.34","42,736.75","43,182.59","43,329.86","42,357.22","40,655.71","43,633.45",-42.29%
United States of America,"715,540.33","715,540.33","698,045.95","724,149.74","720,985.61","726,145.31","741,544.81","773,895.43","767,182.04","738,932.18","694,110.29","724,477.21","724,702.32","713,093.14","714,689.57","739,443.36","714,723.63","741,023.89","732,660.16","684,852.84","606,589.88","661,602.51","634,971.18","645,176.65","669,642.39","644,790.88","624,909.51","645,302.58","640,424.56","661,188.43","664,058.42","622,490.84","628,713.84",-12.13%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: ? means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the ?Notes on GHG data? available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Thursday, 23 November 2023 04:16:03 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
